43 Q0 CACM-2569 1  28.267400612107433 BM25
43 Q0 CACM-3046 2  25.169378258759327 BM25
43 Q0 CACM-2771 3  24.41016648096975 BM25
43 Q0 CACM-3052 4  24.16579281611412 BM25
43 Q0 CACM-2847 5  23.896390842065692 BM25
43 Q0 CACM-2455 6  23.708838318574237 BM25
43 Q0 CACM-2754 7  22.982746957098296 BM25
43 Q0 CACM-3098 8  22.75103786075494 BM25
43 Q0 CACM-3107 9  22.685528078736386 BM25
43 Q0 CACM-3125 10  22.644113310842688 BM25
43 Q0 CACM-2883 11  20.55318506672642 BM25
43 Q0 CACM-2829 12  20.50134500132833 BM25
43 Q0 CACM-1528 13  20.06494425402198 BM25
43 Q0 CACM-2113 14  19.363138855724173 BM25
43 Q0 CACM-2341 15  17.96296410879663 BM25
43 Q0 CACM-2924 16  17.697496136205213 BM25
43 Q0 CACM-2402 17  17.46259991350891 BM25
43 Q0 CACM-1265 18  17.33624198377016 BM25
43 Q0 CACM-0462 19  17.08501731037489 BM25
43 Q0 CACM-1553 20  16.90343973678262 BM25
43 Q0 CACM-1590 21  16.840585521354605 BM25
43 Q0 CACM-2287 22  16.70887328786111 BM25
43 Q0 CACM-2841 23  16.455907105729377 BM25
43 Q0 CACM-1726 24  16.406854231064237 BM25
43 Q0 CACM-2812 25  16.31229369733495 BM25
43 Q0 CACM-2828 26  16.169195522424232 BM25
43 Q0 CACM-2494 27  16.049638541245933 BM25
43 Q0 CACM-3165 28  16.040371932370157 BM25
43 Q0 CACM-3049 29  15.98699904352589 BM25
43 Q0 CACM-2746 30  15.964655860090685 BM25
43 Q0 CACM-1399 31  15.959388231401759 BM25
43 Q0 CACM-2751 32  15.92524481072703 BM25
43 Q0 CACM-2187 33  15.853980543045502 BM25
43 Q0 CACM-3078 34  15.578820356903453 BM25
43 Q0 CACM-2054 35  15.552367896096191 BM25
43 Q0 CACM-1527 36  15.444719774214548 BM25
43 Q0 CACM-2966 37  15.426782962486437 BM25
43 Q0 CACM-1272 38  15.392787159263131 BM25
43 Q0 CACM-1308 39  15.336178791599114 BM25
43 Q0 CACM-0531 40  15.321662905326427 BM25
43 Q0 CACM-3100 41  15.271545947480604 BM25
43 Q0 CACM-2811 42  15.219864516830793 BM25
43 Q0 CACM-1003 43  15.215489853412315 BM25
43 Q0 CACM-1628 44  15.164151587617734 BM25
43 Q0 CACM-2390 45  15.159042984440152 BM25
43 Q0 CACM-2308 46  15.142801654558111 BM25
43 Q0 CACM-1764 47  15.123420101292483 BM25
43 Q0 CACM-1182 48  15.121446487321574 BM25
43 Q0 CACM-1543 49  15.115129924437863 BM25
43 Q0 CACM-1404 50  15.102756304649795 BM25
43 Q0 CACM-3143 51  15.093647839267412 BM25
43 Q0 CACM-1517 52  15.05414484153412 BM25
43 Q0 CACM-0644 53  15.038259577454959 BM25
43 Q0 CACM-2310 54  14.953932439663438 BM25
43 Q0 CACM-2519 55  14.922340001164761 BM25
43 Q0 CACM-1834 56  14.91523401944524 BM25
43 Q0 CACM-2962 57  14.896611677714393 BM25
43 Q0 CACM-3117 58  14.896471783974382 BM25
43 Q0 CACM-0096 59  14.895944187752193 BM25
43 Q0 CACM-1769 60  14.876988299802669 BM25
43 Q0 CACM-3055 61  14.866715068222984 BM25
43 Q0 CACM-1855 62  14.815078746594317 BM25
43 Q0 CACM-2383 63  14.74668662388857 BM25
43 Q0 CACM-2999 64  14.74113548509022 BM25
43 Q0 CACM-2486 65  14.703563116399447 BM25
43 Q0 CACM-2197 66  14.682361519275048 BM25
43 Q0 CACM-1260 67  14.681793284740648 BM25
43 Q0 CACM-0464 68  14.673695718203728 BM25
43 Q0 CACM-1939 69  14.673649365578584 BM25
43 Q0 CACM-1427 70  14.672950667587184 BM25
43 Q0 CACM-0303 71  14.645959727184405 BM25
43 Q0 CACM-2367 72  14.614916188874227 BM25
43 Q0 CACM-2535 73  14.603461369382382 BM25
43 Q0 CACM-2215 74  14.591515508690968 BM25
43 Q0 CACM-1890 75  14.54132273250505 BM25
43 Q0 CACM-2232 76  14.523733212093518 BM25
43 Q0 CACM-2181 77  14.515978770359052 BM25
43 Q0 CACM-1445 78  14.507430854193125 BM25
43 Q0 CACM-1518 79  14.507101683344898 BM25
43 Q0 CACM-2903 80  14.48673400306647 BM25
43 Q0 CACM-3070 81  14.480551882253005 BM25
43 Q0 CACM-1188 82  14.480529621010117 BM25
43 Q0 CACM-2538 83  14.474775171444522 BM25
43 Q0 CACM-1902 84  14.463175718157556 BM25
43 Q0 CACM-1630 85  14.44929538149323 BM25
43 Q0 CACM-1487 86  14.44550926895027 BM25
43 Q0 CACM-1325 87  14.438007540610734 BM25
43 Q0 CACM-0824 88  14.428500625447626 BM25
43 Q0 CACM-2874 89  14.422566166062637 BM25
43 Q0 CACM-3047 90  14.403639676145715 BM25
43 Q0 CACM-1592 91  14.396621098470856 BM25
43 Q0 CACM-0040 92  14.393721248265038 BM25
43 Q0 CACM-1183 93  14.390228920996293 BM25
43 Q0 CACM-3003 94  14.384420472698206 BM25
43 Q0 CACM-1542 95  14.372612030824786 BM25
43 Q0 CACM-2152 96  14.362791729653065 BM25
43 Q0 CACM-0962 97  14.324064554282662 BM25
43 Q0 CACM-1703 98  14.315076355335508 BM25
43 Q0 CACM-1001 99  14.308886246682679 BM25
43 Q0 CACM-1621 100  14.275708581853344 BM25
