44 Q0 CACM-2829 1  41.028356528942616 BM25
44 Q0 CACM-2523 2  26.33720821796837 BM25
44 Q0 CACM-2771 3  11.759231947697602 BM25
44 Q0 CACM-2325 4  11.567775475756982 BM25
44 Q0 CACM-2751 5  10.037370374533737 BM25
44 Q0 CACM-1686 6  9.24358989286434 BM25
44 Q0 CACM-2210 7  9.11071376358394 BM25
44 Q0 CACM-1002 8  9.06030103108367 BM25
44 Q0 CACM-2924 9  9.0050196393686 BM25
44 Q0 CACM-2494 10  8.89100170120443 BM25
44 Q0 CACM-2683 11  8.72252274110593 BM25
44 Q0 CACM-3078 12  8.639999164728398 BM25
44 Q0 CACM-2812 13  8.52550103502983 BM25
44 Q0 CACM-2478 14  8.387870627678662 BM25
44 Q0 CACM-2125 15  8.313491394454216 BM25
44 Q0 CACM-1260 16  8.232558836708225 BM25
44 Q0 CACM-0533 17  8.167719852765128 BM25
44 Q0 CACM-2687 18  8.070549129397332 BM25
44 Q0 CACM-1325 19  7.717745722401242 BM25
44 Q0 CACM-1003 20  7.706102679559065 BM25
44 Q0 CACM-2754 21  7.703310552623295 BM25
44 Q0 CACM-2062 22  7.659448587721497 BM25
44 Q0 CACM-2560 23  7.652498963743662 BM25
44 Q0 CACM-1653 24  7.526123269974422 BM25
44 Q0 CACM-2187 25  7.46394025812633 BM25
44 Q0 CACM-1404 26  7.325145964179038 BM25
44 Q0 CACM-1809 27  7.323909432928619 BM25
44 Q0 CACM-0322 28  7.3145146292334395 BM25
44 Q0 CACM-2999 29  7.302752308891968 BM25
44 Q0 CACM-0464 30  7.275291283718904 BM25
44 Q0 CACM-2535 31  7.19051740414498 BM25
44 Q0 CACM-1679 32  7.13524841578148 BM25
44 Q0 CACM-1517 33  7.11771260886125 BM25
44 Q0 CACM-3003 34  7.113425992382629 BM25
44 Q0 CACM-2871 35  7.095417342797672 BM25
44 Q0 CACM-1927 36  7.04906141959771 BM25
44 Q0 CACM-2181 37  6.981068298558938 BM25
44 Q0 CACM-3117 38  6.969975926992907 BM25
44 Q0 CACM-1214 39  6.967743789435675 BM25
44 Q0 CACM-2308 40  6.949803794857928 BM25
44 Q0 CACM-1383 41  6.9433299662343195 BM25
44 Q0 CACM-1764 42  6.9280621511363565 BM25
44 Q0 CACM-0096 43  6.899671466561909 BM25
44 Q0 CACM-2447 44  6.891812305605253 BM25
44 Q0 CACM-2580 45  6.880087908147031 BM25
44 Q0 CACM-2390 46  6.874254985980311 BM25
44 Q0 CACM-0436 47  6.873819234786084 BM25
44 Q0 CACM-1890 48  6.859348535612291 BM25
44 Q0 CACM-1720 49  6.857834607018479 BM25
44 Q0 CACM-1543 50  6.85755177515304 BM25
44 Q0 CACM-1445 51  6.852610179703621 BM25
44 Q0 CACM-2825 52  6.8425168387772315 BM25
44 Q0 CACM-2848 53  6.830794424021525 BM25
44 Q0 CACM-3050 54  6.827941152618619 BM25
44 Q0 CACM-2310 55  6.808332343102522 BM25
44 Q0 CACM-2383 56  6.799998018470728 BM25
44 Q0 CACM-1188 57  6.781432962133904 BM25
44 Q0 CACM-1951 58  6.777773165016246 BM25
44 Q0 CACM-1272 59  6.77610590688 BM25
44 Q0 CACM-1526 60  6.772974758357705 BM25
44 Q0 CACM-2339 61  6.7711718645550825 BM25
44 Q0 CACM-1208 62  6.768131660895492 BM25
44 Q0 CACM-2962 63  6.764843126329424 BM25
44 Q0 CACM-1001 64  6.751447072192913 BM25
44 Q0 CACM-2113 65  6.748637766764572 BM25
44 Q0 CACM-2004 66  6.74364312338231 BM25
44 Q0 CACM-2197 67  6.743279083346824 BM25
44 Q0 CACM-1916 68  6.741985997982011 BM25
44 Q0 CACM-2820 69  6.741483775416968 BM25
44 Q0 CACM-1308 70  6.733811959216116 BM25
44 Q0 CACM-1366 71  6.72919991080439 BM25
44 Q0 CACM-0940 72  6.726277150378172 BM25
44 Q0 CACM-2486 73  6.720147502163469 BM25
44 Q0 CACM-1307 74  6.716477262098513 BM25
44 Q0 CACM-1427 75  6.712691397526793 BM25
44 Q0 CACM-1590 76  6.704781003789554 BM25
44 Q0 CACM-1473 77  6.70095348886031 BM25
44 Q0 CACM-3165 78  6.698844420311694 BM25
44 Q0 CACM-1014 79  6.695803841971951 BM25
44 Q0 CACM-1435 80  6.690313491906323 BM25
44 Q0 CACM-2105 81  6.674959250893872 BM25
44 Q0 CACM-1183 82  6.674207351902842 BM25
44 Q0 CACM-2538 83  6.633129383037931 BM25
44 Q0 CACM-2303 84  6.614614746635551 BM25
44 Q0 CACM-0962 85  6.6072143160812615 BM25
44 Q0 CACM-3010 86  6.6063433115525125 BM25
44 Q0 CACM-1834 87  6.605559631938231 BM25
44 Q0 CACM-1172 88  6.599943774242052 BM25
44 Q0 CACM-1592 89  6.595170503562917 BM25
44 Q0 CACM-2519 90  6.569172926004897 BM25
44 Q0 CACM-1771 91  6.563003616153814 BM25
44 Q0 CACM-2188 92  6.539478644071877 BM25
44 Q0 CACM-0644 93  6.518573040508429 BM25
44 Q0 CACM-1769 94  6.50695841714305 BM25
44 Q0 CACM-3149 95  6.491612069111696 BM25
44 Q0 CACM-3022 96  6.48558465898946 BM25
44 Q0 CACM-2300 97  6.47619260120577 BM25
44 Q0 CACM-0525 98  6.469689638944488 BM25
44 Q0 CACM-2387 99  6.4409694723256905 BM25
44 Q0 CACM-3036 100  6.42680773912536 BM25
