38 Q0 CACM-3105 1  52.653165347529395 BM25
38 Q0 CACM-3031 2  52.136964140477396 BM25
38 Q0 CACM-2958 3  50.48144201393339 BM25
38 Q0 CACM-2956 4  48.6850405903484 BM25
38 Q0 CACM-3103 5  46.32617181809162 BM25
38 Q0 CACM-2470 6  46.305651105006525 BM25
38 Q0 CACM-2867 7  44.685763189266844 BM25
38 Q0 CACM-2939 8  44.21013346474404 BM25
38 Q0 CACM-2651 9  43.99992038130917 BM25
38 Q0 CACM-2082 10  43.65495442856546 BM25
38 Q0 CACM-0497 11  43.41165835823909 BM25
38 Q0 CACM-2940 12  43.385580394279444 BM25
38 Q0 CACM-2905 13  42.19833505486592 BM25
38 Q0 CACM-1359 14  41.26286682486328 BM25
38 Q0 CACM-1727 15  41.121390940112036 BM25
38 Q0 CACM-0867 16  40.955445345834086 BM25
38 Q0 CACM-2184 17  40.90772040656997 BM25
38 Q0 CACM-2931 18  40.60657133626387 BM25
38 Q0 CACM-1638 19  40.49682896826661 BM25
38 Q0 CACM-2265 20  40.34824616554847 BM25
38 Q0 CACM-3057 21  40.232661515005184 BM25
38 Q0 CACM-2957 22  40.203441290523145 BM25
38 Q0 CACM-2247 23  40.00690296426984 BM25
38 Q0 CACM-1847 24  39.97167865398811 BM25
38 Q0 CACM-2941 25  39.96629670425791 BM25
38 Q0 CACM-2876 26  39.733826896979075 BM25
38 Q0 CACM-1625 27  39.61483143507096 BM25
38 Q0 CACM-2582 28  39.580853967645346 BM25
38 Q0 CACM-3002 29  39.54945311507731 BM25
38 Q0 CACM-1698 30  39.2352082376452 BM25
38 Q0 CACM-1768 31  39.12826484775187 BM25
38 Q0 CACM-1062 32  39.058940976755146 BM25
38 Q0 CACM-1474 33  39.0568240429352 BM25
38 Q0 CACM-1408 34  38.89503054657429 BM25
38 Q0 CACM-3069 35  38.746145936327935 BM25
38 Q0 CACM-2341 36  38.744701070872495 BM25
38 Q0 CACM-2741 37  38.479635982314406 BM25
38 Q0 CACM-2622 38  37.99030886026741 BM25
38 Q0 CACM-1433 39  37.939781776676384 BM25
38 Q0 CACM-2451 40  37.87083896477326 BM25
38 Q0 CACM-1327 41  37.82178733853225 BM25
38 Q0 CACM-1806 42  37.76707323494048 BM25
38 Q0 CACM-2568 43  37.75302706712439 BM25
38 Q0 CACM-2051 44  37.65844962720744 BM25
38 Q0 CACM-1014 45  37.64101964846361 BM25
38 Q0 CACM-2832 46  37.63465148570907 BM25
38 Q0 CACM-0321 47  37.47356306954894 BM25
38 Q0 CACM-1543 48  37.25729423759271 BM25
38 Q0 CACM-2356 49  37.2005391066714 BM25
38 Q0 CACM-2305 50  37.11099146321443 BM25
38 Q0 CACM-2937 51  37.019578127890945 BM25
38 Q0 CACM-0670 52  37.01104057355335 BM25
38 Q0 CACM-1572 53  37.00796782366842 BM25
38 Q0 CACM-1003 54  36.94570093420964 BM25
38 Q0 CACM-2232 55  36.92900708249382 BM25
38 Q0 CACM-1398 56  36.92470078695658 BM25
38 Q0 CACM-2846 57  36.89495279285898 BM25
38 Q0 CACM-1469 58  36.78993960151654 BM25
38 Q0 CACM-0616 59  36.782149838297194 BM25
38 Q0 CACM-0981 60  36.78070983542787 BM25
38 Q0 CACM-3124 61  36.68486424548246 BM25
38 Q0 CACM-1890 62  36.67805724086226 BM25
38 Q0 CACM-2794 63  36.65427759134134 BM25
38 Q0 CACM-2718 64  36.651138217949644 BM25
38 Q0 CACM-2424 65  36.64430443809007 BM25
38 Q0 CACM-1637 66  36.62566709712105 BM25
38 Q0 CACM-0595 67  36.60208113680297 BM25
38 Q0 CACM-1307 68  36.59035364815708 BM25
38 Q0 CACM-3096 69  36.56977967472084 BM25
38 Q0 CACM-2254 70  36.46969984537387 BM25
38 Q0 CACM-0106 71  36.403577191732936 BM25
38 Q0 CACM-2354 72  36.397661263490896 BM25
38 Q0 CACM-0982 73  36.38817088292489 BM25
38 Q0 CACM-1641 74  36.375078357392965 BM25
38 Q0 CACM-0492 75  36.34608405376516 BM25
38 Q0 CACM-2289 76  36.32643907120547 BM25
38 Q0 CACM-1323 77  36.317532044902435 BM25
38 Q0 CACM-1549 78  36.276338936764326 BM25
38 Q0 CACM-3177 79  36.21820167172326 BM25
38 Q0 CACM-1497 80  36.18301302240385 BM25
38 Q0 CACM-0615 81  36.181593973176255 BM25
38 Q0 CACM-0605 82  36.16529662871992 BM25
38 Q0 CACM-2851 83  36.165090865864485 BM25
38 Q0 CACM-0794 84  36.08294187169496 BM25
38 Q0 CACM-1421 85  36.04343480565525 BM25
38 Q0 CACM-2750 86  36.02403049417983 BM25
38 Q0 CACM-2485 87  35.99884923907937 BM25
38 Q0 CACM-2990 88  35.94614067846084 BM25
38 Q0 CACM-1956 89  35.91687792791586 BM25
38 Q0 CACM-1527 90  35.88522743253154 BM25
38 Q0 CACM-0849 91  35.86471988376437 BM25
38 Q0 CACM-3082 92  35.79496137933981 BM25
38 Q0 CACM-2178 93  35.714511283401144 BM25
38 Q0 CACM-2020 94  35.70957120416609 BM25
38 Q0 CACM-2002 95  35.59770490236916 BM25
38 Q0 CACM-2527 96  35.59055215502317 BM25
38 Q0 CACM-3111 97  35.5872315217039 BM25
38 Q0 CACM-1931 98  35.57751081619225 BM25
38 Q0 CACM-1827 99  35.537392607991485 BM25
38 Q0 CACM-2046 100  35.51680840699507 BM25
