56 Q0 CACM-2327 1  15.816557191843604 BM25
56 Q0 CACM-2650 2  15.327925919503803 BM25
56 Q0 CACM-1678 3  14.419481442817855 BM25
56 Q0 CACM-2112 4  13.242348867523821 BM25
56 Q0 CACM-2921 5  10.594799797581409 BM25
56 Q0 CACM-2323 6  9.26800093153491 BM25
56 Q0 CACM-1896 7  9.049132318100806 BM25
56 Q0 CACM-1898 8  9.008731578843376 BM25
56 Q0 CACM-1993 9  8.889665230456654 BM25
56 Q0 CACM-2931 10  8.448551307711567 BM25
56 Q0 CACM-1355 11  7.877282350310099 BM25
56 Q0 CACM-2449 12  7.673263914248594 BM25
56 Q0 CACM-1453 13  7.484180248755888 BM25
56 Q0 CACM-2061 14  7.091143254724219 BM25
56 Q0 CACM-1991 15  6.9582250739213425 BM25
56 Q0 CACM-1665 16  6.634548299740165 BM25
56 Q0 CACM-1739 17  6.6316676189653645 BM25
56 Q0 CACM-2645 18  6.189406163570984 BM25
56 Q0 CACM-3189 19  6.171280209115851 BM25
56 Q0 CACM-0055 20  6.0437173680411584 BM25
56 Q0 CACM-1397 21  5.84525502841624 BM25
56 Q0 CACM-0001 22  5.811406259728831 BM25
56 Q0 CACM-0044 23  5.811406259728831 BM25
56 Q0 CACM-2346 24  5.7672710311401145 BM25
56 Q0 CACM-1253 25  5.7450574533164795 BM25
56 Q0 CACM-2974 26  5.676123600710029 BM25
56 Q0 CACM-2090 27  5.566617435473908 BM25
56 Q0 CACM-0393 28  5.555167832146906 BM25
56 Q0 CACM-1048 29  5.538854875431719 BM25
56 Q0 CACM-0099 30  5.5154349817826755 BM25
56 Q0 CACM-0093 31  5.508341679977931 BM25
56 Q0 CACM-0054 32  5.435339448835043 BM25
56 Q0 CACM-2166 33  5.312641256514016 BM25
56 Q0 CACM-1803 34  5.246714683215855 BM25
56 Q0 CACM-2932 35  5.179173456238393 BM25
56 Q0 CACM-2470 36  5.156339994344313 BM25
56 Q0 CACM-1967 37  5.063412339161718 BM25
56 Q0 CACM-1334 38  5.027603021147151 BM25
56 Q0 CACM-2134 39  4.935281433644112 BM25
56 Q0 CACM-0249 40  4.923085993893429 BM25
56 Q0 CACM-2121 41  4.866989633802053 BM25
56 Q0 CACM-1840 42  4.761245354026246 BM25
56 Q0 CACM-2842 43  4.756569436545618 BM25
56 Q0 CACM-2416 44  4.7270110248056545 BM25
56 Q0 CACM-2476 45  4.664314405307845 BM25
56 Q0 CACM-1258 46  4.65406136022053 BM25
56 Q0 CACM-1154 47  4.538993327240711 BM25
56 Q0 CACM-1911 48  4.402948596408185 BM25
56 Q0 CACM-2051 49  4.400639585644789 BM25
56 Q0 CACM-1923 50  4.3628105962918395 BM25
56 Q0 CACM-2779 51  4.340424266642357 BM25
56 Q0 CACM-2326 52  4.336714564433802 BM25
56 Q0 CACM-2580 53  4.318975835370518 BM25
56 Q0 CACM-0850 54  4.300376285859289 BM25
56 Q0 CACM-2290 55  4.29469473840957 BM25
56 Q0 CACM-1887 56  4.241343744005038 BM25
56 Q0 CACM-1867 57  4.2144747041634325 BM25
56 Q0 CACM-1466 58  4.195042566747046 BM25
56 Q0 CACM-2809 59  4.192562861584863 BM25
56 Q0 CACM-0021 60  4.138192033428 BM25
56 Q0 CACM-1216 61  4.137799980777887 BM25
56 Q0 CACM-1102 62  4.129019504211314 BM25
56 Q0 CACM-2813 63  4.110629653288038 BM25
56 Q0 CACM-2258 64  4.085683960144621 BM25
56 Q0 CACM-0463 65  4.065042429776137 BM25
56 Q0 CACM-1841 66  3.988108227523358 BM25
56 Q0 CACM-2305 67  3.961941647247863 BM25
56 Q0 CACM-0628 68  3.9134500919489557 BM25
56 Q0 CACM-2133 69  3.905640060759821 BM25
56 Q0 CACM-1211 70  3.881176502675145 BM25
56 Q0 CACM-2167 71  3.8174583777698325 BM25
56 Q0 CACM-1214 72  3.7862301649925216 BM25
56 Q0 CACM-2986 73  3.7168126557066326 BM25
56 Q0 CACM-1806 74  3.5843911518085316 BM25
56 Q0 CACM-2769 75  3.5809721454303083 BM25
56 Q0 CACM-1948 76  3.5273778666083815 BM25
56 Q0 CACM-0265 77  3.51008829220905 BM25
56 Q0 CACM-2192 78  3.4460395040139242 BM25
56 Q0 CACM-2558 79  3.43357784444003 BM25
56 Q0 CACM-1781 80  3.3837233711820787 BM25
56 Q0 CACM-2661 81  3.383302110303197 BM25
56 Q0 CACM-2165 82  3.3830123054888603 BM25
56 Q0 CACM-3077 83  3.3793517093969667 BM25
56 Q0 CACM-0164 84  3.3675333527911384 BM25
56 Q0 CACM-0864 85  3.3675333527911384 BM25
56 Q0 CACM-3203 86  3.332207904656684 BM25
56 Q0 CACM-2648 87  3.2753146590772526 BM25
56 Q0 CACM-0438 88  3.2670685212466912 BM25
56 Q0 CACM-1961 89  3.202006594086315 BM25
56 Q0 CACM-1046 90  3.136873533833079 BM25
56 Q0 CACM-2719 91  3.080730714296275 BM25
56 Q0 CACM-2028 92  3.0748999750378805 BM25
56 Q0 CACM-2302 93  3.074633671917704 BM25
56 Q0 CACM-3199 94  3.0605370964602634 BM25
56 Q0 CACM-2255 95  3.0330868153431405 BM25
56 Q0 CACM-2504 96  3.0330868153431405 BM25
56 Q0 CACM-3124 97  3.0255632981373495 BM25
56 Q0 CACM-2672 98  3.0158270229432094 BM25
56 Q0 CACM-1136 99  2.9137311942578696 BM25
56 Q0 CACM-0124 100  2.781546176645749 BM25
