62 Q0 CACM-2685 1  14.983903189367485 BM25
62 Q0 CACM-1158 2  13.670635754272134 BM25
62 Q0 CACM-3156 3  13.362180724213022 BM25
62 Q0 CACM-1828 4  13.018608633307892 BM25
62 Q0 CACM-2266 5  12.78395307309559 BM25
62 Q0 CACM-2896 6  12.631539975931853 BM25
62 Q0 CACM-3059 7  12.557275321945843 BM25
62 Q0 CACM-2714 8  12.527306798901536 BM25
62 Q0 CACM-0950 9  12.451250402494114 BM25
62 Q0 CACM-2401 10  12.260219299478354 BM25
62 Q0 CACM-1601 11  12.230116228502308 BM25
62 Q0 CACM-2865 12  12.16768406205525 BM25
62 Q0 CACM-1811 13  12.117106628821073 BM25
62 Q0 CACM-2785 14  12.107604054905128 BM25
62 Q0 CACM-1367 15  12.104846439312546 BM25
62 Q0 CACM-0320 16  12.098151037242152 BM25
62 Q0 CACM-1262 17  11.97136953710059 BM25
62 Q0 CACM-1302 18  11.963183486578973 BM25
62 Q0 CACM-2973 19  11.938053328425168 BM25
62 Q0 CACM-2895 20  11.838442304170082 BM25
62 Q0 CACM-1468 21  11.804987165172399 BM25
62 Q0 CACM-1795 22  11.759186504924026 BM25
62 Q0 CACM-3075 23  11.739595673777325 BM25
62 Q0 CACM-2342 24  11.566332196331771 BM25
62 Q0 CACM-2851 25  11.187408350436481 BM25
62 Q0 CACM-1603 26  10.849145535548537 BM25
62 Q0 CACM-2289 27  10.830255274506307 BM25
62 Q0 CACM-2195 28  10.68755871230637 BM25
62 Q0 CACM-1536 29  10.639299620766321 BM25
62 Q0 CACM-1569 30  10.531773530046927 BM25
62 Q0 CACM-2557 31  10.340935451612358 BM25
62 Q0 CACM-2570 32  10.121919261490484 BM25
62 Q0 CACM-1008 33  10.054667241791972 BM25
62 Q0 CACM-1747 34  10.033335589942205 BM25
62 Q0 CACM-2433 35  9.77424737897214 BM25
62 Q0 CACM-2838 36  9.745378486256426 BM25
62 Q0 CACM-2932 37  9.671332338191197 BM25
62 Q0 CACM-1368 38  9.65844318593992 BM25
62 Q0 CACM-1957 39  9.655959556358964 BM25
62 Q0 CACM-1856 40  9.621281206441303 BM25
62 Q0 CACM-1471 41  9.594313428021557 BM25
62 Q0 CACM-2898 42  9.576350178682125 BM25
62 Q0 CACM-2580 43  9.549095052543786 BM25
62 Q0 CACM-1959 44  9.44869634550989 BM25
62 Q0 CACM-2200 45  9.341069887371697 BM25
62 Q0 CACM-1613 46  9.31605582596027 BM25
62 Q0 CACM-2700 47  8.984859975138306 BM25
62 Q0 CACM-1961 48  8.944432446988497 BM25
62 Q0 CACM-2648 49  8.88256200941546 BM25
62 Q0 CACM-2175 50  8.794965866437328 BM25
62 Q0 CACM-1409 51  8.568315232112644 BM25
62 Q0 CACM-2727 52  8.408062145615412 BM25
62 Q0 CACM-2327 53  8.402268836287615 BM25
62 Q0 CACM-1200 54  8.400757108963532 BM25
62 Q0 CACM-1554 55  8.308659348993853 BM25
62 Q0 CACM-1928 56  8.268165415100249 BM25
62 Q0 CACM-2134 57  8.26718344640807 BM25
62 Q0 CACM-1846 58  8.259219078400163 BM25
62 Q0 CACM-1334 59  8.237443634851752 BM25
62 Q0 CACM-3175 60  8.153084735249129 BM25
62 Q0 CACM-3073 61  8.115593344635887 BM25
62 Q0 CACM-2723 62  8.052774450927958 BM25
62 Q0 CACM-0141 63  7.893278238353147 BM25
62 Q0 CACM-1825 64  7.857117056312078 BM25
62 Q0 CACM-0392 65  7.771916096207593 BM25
62 Q0 CACM-1111 66  7.719589686856657 BM25
62 Q0 CACM-2952 67  7.702173881610132 BM25
62 Q0 CACM-2720 68  7.6870246738312105 BM25
62 Q0 CACM-2060 69  7.673200339463771 BM25
62 Q0 CACM-2484 70  7.548709307551816 BM25
62 Q0 CACM-1911 71  7.540188216448026 BM25
62 Q0 CACM-1143 72  7.521000483973339 BM25
62 Q0 CACM-2220 73  7.487831754383996 BM25
62 Q0 CACM-2515 74  7.481910453505917 BM25
62 Q0 CACM-2216 75  7.467974932317274 BM25
62 Q0 CACM-2114 76  7.450107908576568 BM25
62 Q0 CACM-2449 77  7.447280687891869 BM25
62 Q0 CACM-2702 78  7.442362027565806 BM25
62 Q0 CACM-2596 79  7.439200626248094 BM25
62 Q0 CACM-1424 80  7.40432266396039 BM25
62 Q0 CACM-2454 81  7.380886258830346 BM25
62 Q0 CACM-2182 82  7.375037134986415 BM25
62 Q0 CACM-1854 83  7.3529010081370965 BM25
62 Q0 CACM-2924 84  7.335903298353155 BM25
62 Q0 CACM-2080 85  7.330489838037764 BM25
62 Q0 CACM-2376 86  7.312459466493136 BM25
62 Q0 CACM-2031 87  7.299103958123512 BM25
62 Q0 CACM-1933 88  7.2241944608179365 BM25
62 Q0 CACM-2323 89  7.210750040852565 BM25
62 Q0 CACM-1429 90  7.1508208391948465 BM25
62 Q0 CACM-2164 91  7.141698099943185 BM25
62 Q0 CACM-1504 92  7.114588655485315 BM25
62 Q0 CACM-2918 93  7.100716334590609 BM25
62 Q0 CACM-2133 94  7.100300796304732 BM25
62 Q0 CACM-1935 95  7.076094677103771 BM25
62 Q0 CACM-3038 96  7.070140049248944 BM25
62 Q0 CACM-1309 97  7.05594079714126 BM25
62 Q0 CACM-2015 98  7.043491983337784 BM25
62 Q0 CACM-1567 99  7.00308449847853 BM25
62 Q0 CACM-1932 100  6.983735832667323 BM25
